agent,profile,W,Hg,delta_guard,num_steps,num_valid_steps,num_seeds,window_violation_rate,peak_violation_rate,rate_diff,agent_guard_pass_rate,std_guard_pass_rate,guard_false_negative_rate,window_violation_with_guard_rate
pianoMPC,balanced,20,5,0.1,1045,950,5,0.9073684210526316,0.0,0.9073684210526316,0.5052631578947369,1.0,0.0,0.9073684210526316
pianoMPC,balanced,5,7,0.0,1072,1052,5,0.21577946768060838,0.3269961977186312,-0.11121673003802282,0.10171102661596958,0.6730038022813688,0.017110266159695818,0.1435361216730038
pianoMPC,balanced,10,7,0.0,1072,1027,5,0.4079844206426485,0.32035053554040893,0.08763388510223957,0.10321324245374879,0.6796494644595911,0.016553067185978577,0.2804284323271665
pianoMPC,balanced,20,7,0.0,1072,977,5,0.661207778915046,0.30808597748208805,0.35312180143295796,0.10337768679631525,0.691914022517912,0.016376663254861822,0.44012282497441146
pianoMPC,balanced,5,7,0.05,1031,1011,5,0.4134520276953511,0.1414441147378833,0.27200791295746785,0.1552917903066271,0.8585558852621167,0.011869436201780416,0.34718100890207715
pianoMPC,balanced,10,7,0.05,1031,986,5,0.6845841784989858,0.14503042596348883,0.539553752535497,0.15415821501014199,0.8549695740365112,0.012170385395537525,0.5851926977687627
pianoMPC,balanced,20,7,0.05,1031,936,5,0.9188034188034188,0.1420940170940171,0.7767094017094016,0.15491452991452992,0.8579059829059829,0.011752136752136752,0.7927350427350427
pianoMPC,balanced,5,7,0.1,1039,1019,5,0.4946025515210991,0.007850834151128557,0.4867517173699705,0.1481844946025515,0.9921491658488715,0.0,0.4916584887144259
pianoMPC,balanced,10,7,0.1,1039,994,5,0.7746478873239436,0.008048289738430584,0.766599597585513,0.14688128772635814,0.9919517102615694,0.0,0.7706237424547284
pianoMPC,balanced,20,7,0.1,1039,944,5,0.9544491525423728,0.00847457627118644,0.9459745762711864,0.1461864406779661,0.9915254237288136,0.0,0.9459745762711864
pianoMPC,mild_left_weak,5,3,0.0,1072,1052,5,0.30038022813688214,0.2414448669201521,0.05893536121673004,0.4667300380228137,0.7585551330798479,0.08460076045627377,0.21007604562737642
pianoMPC,mild_left_weak,10,3,0.0,1072,1027,5,0.5481986368062317,0.2385589094449854,0.30963972736124634,0.4644595910418695,0.7614410905550146,0.0827653359298929,0.41090555014605645
pianoMPC,mild_left_weak,20,3,0.0,1072,977,5,0.7881269191402251,0.23541453428863868,0.5527123848515865,0.4687819856704197,0.7645854657113613,0.08290685772773797,0.5987717502558854
pianoMPC,mild_left_weak,5,3,0.05,1082,1062,5,0.6318267419962336,0.1873822975517891,0.4444444444444445,0.6450094161958568,0.812617702448211,0.062146892655367235,0.5112994350282486
pianoMPC,mild_left_weak,10,3,0.05,1082,1037,5,0.8852459016393442,0.17647058823529413,0.7087753134040501,0.6460945033751205,0.8235294117647058,0.05785920925747348,0.7251687560270009
pianoMPC,mild_left_weak,20,3,0.05,1082,987,5,0.9989868287740629,0.1762917933130699,0.822695035460993,0.646403242147923,0.8237082066869301,0.05673758865248227,0.8226950354609929
pianoMPC,mild_left_weak,5,3,0.1,1041,1021,5,0.6552399608227228,0.0,0.6552399608227228,0.713026444662096,1.0,0.0,0.6552399608227228
pianoMPC,mild_left_weak,10,3,0.1,1041,996,5,0.893574297188755,0.0,0.893574297188755,0.7118473895582329,1.0,0.0,0.893574297188755
pianoMPC,mild_left_weak,20,3,0.1,1041,946,5,0.9989429175475687,0.0,0.9989429175475687,0.7124735729386892,1.0,0.0,0.9989429175475687
pianoMPC,mild_left_weak,5,5,0.0,1052,1032,5,0.14147286821705427,0.16763565891472867,-0.02616279069767441,0.10368217054263566,0.8323643410852714,0.015503875968992248,0.07751937984496124
pianoMPC,mild_left_weak,10,5,0.0,1052,1007,5,0.2413108242303873,0.1717974180734856,0.06951340615690169,0.10327706057596822,0.8282025819265144,0.015888778550148957,0.16385302879841113
pianoMPC,mild_left_weak,20,5,0.0,1052,957,5,0.4211076280041797,0.180773249738767,0.24033437826541273,0.1044932079414838,0.819226750261233,0.01671891327063741,0.33019853709508884
pianoMPC,mild_left_weak,5,5,0.05,1060,1040,5,0.4442307692307692,0.09134615384615384,0.35288461538461535,0.27692307692307694,0.9086538461538461,0.016346153846153847,0.37596153846153846
pianoMPC,mild_left_weak,10,5,0.05,1060,1015,5,0.6660098522167488,0.08374384236453201,0.5822660098522168,0.27586206896551724,0.916256157635468,0.013793103448275862,0.5911330049261084
pianoMPC,mild_left_weak,20,5,0.05,1060,965,5,0.8932642487046633,0.08601036269430051,0.8072538860103627,0.277720207253886,0.9139896373056995,0.014507772020725389,0.8082901554404145
pianoMPC,mild_left_weak,5,5,0.1,1058,1038,5,0.5780346820809249,0.017341040462427744,0.5606936416184971,0.43641618497109824,0.9826589595375722,0.002890173410404624,0.5674373795761078
pianoMPC,mild_left_weak,10,5,0.1,1058,1013,5,0.824284304047384,0.017769002961500493,0.8065153010858834,0.43435340572556763,0.9822309970384995,0.0029615004935834156,0.8094768015794669
pianoMPC,mild_left_weak,20,5,0.1,1058,963,5,0.9844236760124611,0.013499480789200415,0.9709241952232607,0.4392523364485981,0.9865005192107996,0.0020768431983385254,0.9709241952232607
pianoMPC,mild_left_weak,5,7,0.0,1059,1039,5,0.11068334937439846,0.16554379210779596,-0.054860442733397505,0.10587102983638114,0.8344562078922041,0.013474494706448507,0.07314725697786333
pianoMPC,mild_left_weak,10,7,0.0,1059,1014,5,0.20512820512820512,0.16962524654832348,0.035502958579881644,0.10650887573964497,0.8303747534516766,0.013806706114398421,0.16666666666666666
