param_name,scale,agent,metric,value_mean,value_std,n_seeds
eta_forget,0.3,thompson,ttm,136.0,76.35589186318383,10
gamma_f,-0.5,autocurriculum,avg_fatigue,0.5278251325498562,0.007988665628621815,10
gamma_f,-0.5,autocurriculum,feasible_rate,0.9350000000000002,0.011573703697777573,10
gamma_f,-0.5,autocurriculum,learn_slope,0.0,0.0,10
gamma_f,-0.5,autocurriculum,ttm,600.0,0.0,10
gamma_f,-0.5,bayesianmab,avg_fatigue,0.512345436730952,0.08067905436220683,10
gamma_f,-0.5,bayesianmab,feasible_rate,0.9105922527552963,0.03479315173941111,10
gamma_f,-0.5,bayesianmab,learn_slope,0.002,0.0016,10
gamma_f,-0.5,bayesianmab,ttm,85.5,61.61213805375979,10
gamma_f,-0.5,ccb_df,avg_fatigue,0.5344666402970535,0.021473710514681978,10
gamma_f,-0.5,ccb_df,feasible_rate,0.9157540152562689,0.030187180865997903,10
gamma_f,-0.5,ccb_df,learn_slope,0.0009,0.0005,10
gamma_f,-0.5,ccb_df,ttm,103.1,53.23000407038622,10
gamma_f,-0.5,dqn,avg_fatigue,0.5208366165326257,0.039259856280754075,10
gamma_f,-0.5,dqn,feasible_rate,0.9263609690895913,0.04070160094346753,10
gamma_f,-0.5,dqn,learn_slope,0.0009,0.0008,10
gamma_f,-0.5,dqn,ttm,212.8,223.74678147902424,10
gamma_f,-0.5,linucb,avg_fatigue,0.5607929059214222,0.0050528166405446094,10
gamma_f,-0.5,linucb,feasible_rate,0.9765527414548325,0.006771894361025182,10
gamma_f,-0.5,linucb,learn_slope,0.0003,0.0006,10
gamma_f,-0.5,linucb,ttm,325.9,211.10263433273926,10
gamma_f,-0.5,pianoMPC,avg_fatigue,0.5602591386328901,0.02049156912424378,10
gamma_f,-0.5,pianoMPC,feasible_rate,0.8800319655455956,0.03821742209601145,10
gamma_f,-0.5,pianoMPC,learn_slope,0.0042,0.0024,10
gamma_f,-0.5,pianoMPC,ttm,42.2,13.189221188362698,10
gamma_f,-0.5,safe_ac,avg_fatigue,0.5368650115544643,0.03448799968357282,10
gamma_f,-0.5,safe_ac,feasible_rate,0.9176825684664228,0.042084793495525234,10
gamma_f,-0.5,safe_ac,learn_slope,0.0014,0.0009,10
gamma_f,-0.5,safe_ac,ttm,79.4,37.20573432505622,10
gamma_f,-0.5,thompson,avg_fatigue,0.5456651100793322,0.019403266454794607,10
gamma_f,-0.5,thompson,feasible_rate,0.9130649632020227,0.03014318695073963,10
gamma_f,-0.5,thompson,learn_slope,0.0011,0.0015,10
gamma_f,-0.5,thompson,ttm,108.6,53.91392316564536,10
gamma_f,-0.25,autocurriculum,avg_fatigue,0.5278251325498562,0.007988665628621815,10
gamma_f,-0.25,autocurriculum,feasible_rate,0.9350000000000002,0.011573703697777573,10
gamma_f,-0.25,autocurriculum,learn_slope,0.0,0.0,10
gamma_f,-0.25,autocurriculum,ttm,600.0,0.0,10
gamma_f,-0.25,bayesianmab,avg_fatigue,0.5102763602004483,0.07946978117967379,10
gamma_f,-0.25,bayesianmab,feasible_rate,0.9073049475313256,0.03618641319209259,10
gamma_f,-0.25,bayesianmab,learn_slope,0.0021,0.0016,10
gamma_f,-0.25,bayesianmab,ttm,71.9,39.28655410357764,10
gamma_f,-0.25,ccb_df,avg_fatigue,0.5386847755065591,0.02690928761178033,10
gamma_f,-0.25,ccb_df,feasible_rate,0.9135926339811895,0.0348244497533945,10
gamma_f,-0.25,ccb_df,learn_slope,0.0007,0.0004,10
gamma_f,-0.25,ccb_df,ttm,102.7,31.798148094224327,10
gamma_f,-0.25,dqn,avg_fatigue,0.5262272179973134,0.04280198598846348,10
gamma_f,-0.25,dqn,feasible_rate,0.9151776131633816,0.05319225794565457,10
gamma_f,-0.25,dqn,learn_slope,0.0009,0.0008,10
