scenario,agent,num_runs,avg_constraint_violation_mean,avg_constraint_violation_std,avg_fatigue_mean,avg_fatigue_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,time_to_mastery_mean,time_to_mastery_std
transfer_x1.2,Thompson,5,0.003722992236132219,0.0007935757767935118,0.47587041313516276,0.1333941033026558,0.07160662371005343,0.03731173290549914,0.9283933762899466,0.03731173290549917,31.666666666666668,5.822287466124559
transfer_x1.4,PianoMPC,5,0.0016280051677035128,0.0025625875349440043,0.44421401848899933,0.0682010544030038,0.05666471917755614,0.10920867922610902,0.9433352808224438,0.10920867922610893,18.53333333333333,8.94749483462715
transfer_x1.4,BayesianMAB,5,0.0012049460835816107,0.0013092348451940853,0.3913722485772945,0.1553444489924516,0.03711731393563852,0.02056858387784993,0.9628826860643617,0.020568583877849694,21.733333333333334,6.781893103915312
transfer_x1.4,CCB-DF,5,0.0035401932427625567,0.0030694831471480143,0.48083608528299554,0.13548812656662979,0.07491535213644747,0.01633327224144558,0.9250846478635526,0.016333272241445495,34.13333333333333,3.308040795223458
transfer_x1.4,LinUCB,5,0.00047050482884339654,7.145909994296289e-05,0.5012763953943389,0.07765666721785272,0.03443550159953357,0.04910679843480767,0.9655644984004664,0.049106798434807676,30.333333333333332,4.046425738000817
transfer_x1.4,Thompson,5,0.004000682728177118,0.00408934306750368,0.4831436336794144,0.06769778688714252,0.07790324314489762,0.03443377051169025,0.9220967568551025,0.03443377051169027,31.600000000000005,7.995682595585925
obs_x2_transfer_x0.8,PianoMPC,5,0.002997713734093813,0.0013292961594183112,0.5052013403547471,0.07609086868268228,0.0823358717342335,0.013899995892365742,0.9176641282657664,0.013899995892365763,43.6,19.344400015418863
obs_x2_transfer_x0.8,BayesianMAB,5,0.005139171289880273,0.006231312896212366,0.4629444737997989,0.1665262829903961,0.08206001291759805,0.056031845120724816,0.9179399870824018,0.05603184512072467,53.73333333333334,13.185444793849216
obs_x2_transfer_x0.8,CCB-DF,5,0.004350046360957842,0.0019593829455108493,0.46873203467660063,0.1437928983263799,0.08431839469087876,0.016633425257820567,0.9156816053091212,0.01663342525782048,67.93333333333334,12.689381342540228
obs_x2_transfer_x0.8,LinUCB,5,0.0013564551515538273,0.0006938875818664726,0.48558055658274424,0.1167779434356698,0.0455543423352168,0.026106882270599485,0.9544456576647832,0.02610688227059915,74.33333333333333,10.797667786459241
obs_x2_transfer_x0.8,Thompson,5,0.004749372878646235,0.002196485996006103,0.4813440761761489,0.0899742617180626,0.08094942393312306,0.010034826139400016,0.9190505760668769,0.010034826139399626,64.26666666666667,23.10292590067232
obs_x2_transfer_x1.2,PianoMPC,5,0.002060437871796275,0.002038013778180865,0.45718133266368216,0.05587921902328159,0.048512385355581666,0.044356082918270104,0.9514876146444183,0.044356082918269854,24.133333333333336,2.2403194725098796
